Date,Open,High,Low,Close,Volume,Adj Close
1987-01-05,18703,18822,18635,18821,0,18821,
1986-12-26,18759,18821,18735,18821,0,18821,
1986-12-25,18910,18984,18741,18774,0,18774,
1986-12-24,18833,18973,18833,18903,0,18903,
1986-12-23,18830,18867,18793,18809,0,18809,
1986-12-22,18949,18983,18824,18825,0,18825,
1986-12-19,18718,18937,18713,18930,0,18930,
1986-12-18,18844,18844,18644,18724,0,18724,
1986-12-17,18939,18989,18699,18848,0,18848,
1986-12-16,18802,18961,18802,18933,0,18933,
1986-12-15,18831,18898,18732,18789,0,18789,
1986-12-12,18733,18895,18721,18831,0,18831,
1986-12-11,18777,18833,18723,18731,0,18731,
1986-12-10,18601,18790,18595,18776,0,18776,
1986-12-09,18711,18794,18585,18603,0,18603,
1986-12-08,18609,18731,18609,18711,0,18711,
1986-12-05,18616,18726,18613,18637,0,18637,
1986-12-04,18453,18626,18453,18624,0,18624,
1986-12-03,18200,18475,18200,18455,0,18455,
1986-12-02,18327,18360,18132,18191,0,18191,
1986-12-01,18339,18434,18308,18308,0,18308,
1986-11-28,17903,18084,17903,18083,0,18083,
1986-11-27,17748,17884,17748,17884,0,17884,
1986-11-26,17747,17770,17687,17728,0,17728,
1986-11-25,17658,17789,17658,17748,0,17748,
1986-11-21,17331,17520,17331,17490,0,17490,
1986-11-20,17314,17410,17265,17305,0,17305,
1986-11-19,17252,17303,17200,17284,0,17284,
1986-11-18,17221,17297,17221,17274,0,17274,
1986-11-17,17400,17475,17204,17208,0,17208,
1986-11-14,17424,17424,17290,17391,0,17391,
1986-11-13,17443,17466,17417,17438,0,17438,
1986-11-12,17306,17487,17306,17448,0,17448,
1986-11-11,17055,17303,17055,17301,0,17301,
1986-11-10,16989,17076,16961,17053,0,17053,
1986-11-07,16778,16977,16778,16974,0,16974,
1986-11-06,16712,16771,16712,16758,0,16758,
1986-11-05,16766,16845,16700,16714,0,16714,
1986-11-04,16840,16894,16751,16787,0,16787,
1986-10-31,17021,17091,16897,16911,0,16911,
1986-10-30,16526,17011,16526,17011,0,17011,
1986-10-29,16397,16532,16397,16505,0,16505,
1986-10-28,16152,16398,16152,16398,0,16398,
1986-10-27,16186,16207,16135,16158,0,16158,
1986-10-24,16322,16563,16280,16284,0,16284,
1986-10-23,15817,16329,15624,16308,0,16308,
1986-10-22,16216,16321,15638,15820,0,15820,
1986-10-21,16501,16501,15989,16206,0,16206,
1986-10-20,16692,16692,16482,16523,0,16523,
1986-10-17,16869,16932,16671,16700,0,16700,
1986-10-16,16976,17028,16692,16872,0,16872,
1986-10-15,17317,17393,16958,16970,0,16970,
1986-10-14,17349,17447,17097,17318,0,17318,
1986-10-13,17623,17623,17330,17339,0,17339,
1986-10-09,17512,17652,17512,17650,0,17650,
1986-10-08,17604,17683,17472,17515,0,17515,
1986-10-07,17441,17608,17441,17604,0,17604,
1986-10-06,17599,17676,17431,17435,0,17435,
1986-10-03,17005,17271,16820,17240,0,17240,
1986-10-02,17564,17602,17004,17019,0,17019,
1986-10-01,17854,17974,17563,17564,0,17564,
1986-09-30,17894,17894,17817,17853,0,17853,
1986-09-29,18185,18263,18094,18106,0,18106,
1986-09-26,17979,18052,17871,17961,0,17961,
1986-09-25,17979,18078,17904,17988,0,17988,
1986-09-24,17718,18018,17718,17956,0,17956,
1986-09-23,17527,17527,17527,17527,0,17527,
1986-09-22,17527,17707,17527,17706,0,17706,
1986-09-19,17493,17612,17493,17523,0,17523,
1986-09-18,17327,17520,17327,17478,0,17478,
1986-09-17,17471,17620,17336,17337,0,17337,
1986-09-16,18087,18087,17459,17463,0,17463,
1986-09-15,18554,18554,18554,18554,0,18554,
1986-09-12,18554,18554,17939,18101,0,18101,
1986-09-11,18615,18668,18548,18561,0,18561,
1986-09-10,18477,18636,18473,18619,0,18619,
