Date,Open,High,Low,Close,Volume,Adj Close
1997-10-16,191.49,191.91,188.64,189.12,000,189.12
1997-10-15,192.08,192.08,190.95,191.49,000,191.49
1997-10-14,192.32,192.71,191.10,192.08,000,192.08
1997-10-13,192.48,192.98,192.24,192.32,000,192.32
1997-10-10,192.32,192.49,191.43,192.48,000,192.48
1997-10-09,191.92,192.33,190.82,192.32,000,192.32
1997-10-08,191.74,192.06,190.77,191.92,000,191.92
1997-10-07,190.96,191.79,190.94,191.74,000,191.74
1997-10-06,190.17,191.09,190.17,190.96,000,190.96
1997-10-03,189.22,190.99,189.22,190.17,000,190.17
1997-10-02,187.96,189.22,187.92,189.22,000,189.22
1997-10-01,187.31,188.11,187.31,187.96,000,187.96
1997-09-30,186.84,187.47,186.61,187.31,000,187.31
1997-09-29,185.65,186.90,185.64,186.84,000,186.84
1997-09-26,185.25,185.78,185.25,185.65,000,185.65
1997-09-25,185.88,185.88,184.95,185.25,000,185.25
1997-09-24,186.35,186.87,185.72,185.88,000,185.88
1997-09-23,185.84,186.35,185.40,186.35,000,186.35
1997-09-22,184.76,186.24,184.76,185.84,000,185.84
1997-09-19,184.65,184.86,183.57,184.76,000,184.76
1997-09-18,184.46,185.30,184.46,184.65,000,184.65
1997-09-17,184.66,185.23,184.35,184.46,000,184.46
1997-09-16,182.40,184.66,182.40,184.66,000,184.66
1997-09-15,182.26,182.90,182.26,182.40,000,182.40
1997-09-12,180.76,182.26,180.69,182.26,000,182.26
1997-09-11,181.24,181.24,179.74,180.76,000,180.76
1997-09-10,181.63,181.89,181.10,181.24,000,181.24
1997-09-09,180.67,181.76,180.52,181.63,000,181.63
1997-09-08,179.53,180.77,179.53,180.67,000,180.67
1997-09-05,178.30,179.59,178.30,179.53,000,179.53
1997-09-04,178.50,178.53,178.09,178.30,000,178.30
1997-09-03,178.21,178.50,177.79,178.50,000,178.50
1997-09-02,175.81,178.21,175.81,178.21,000,178.21
1997-08-29,174.77,175.89,174.52,175.81,000,175.81
1997-08-28,174.12,175.10,173.45,174.77,000,174.77
1997-08-27,173.03,174.42,173.03,174.39,000,174.39
1997-08-26,173.69,174.07,173.03,173.03,000,173.03
1997-08-25,172.47,173.91,172.47,173.69,000,173.69
1997-08-22,173.11,173.11,170.95,172.47,000,172.47
1997-08-21,174.16,174.22,173.03,173.10,000,173.10
1997-08-20,172.21,174.17,172.11,174.16,000,174.16
1997-08-19,169.94,172.21,169.94,172.21,000,172.21
1997-08-18,169.93,170.10,168.87,169.94,000,169.94
1997-08-15,171.51,171.51,169.93,169.93,000,169.93
1997-08-14,171.28,171.69,170.98,171.51,000,171.51
1997-08-13,171.07,172.26,170.88,171.28,000,171.28
1997-08-12,171.08,172.50,170.97,171.07,000,171.07
1997-08-11,171.57,171.77,170.34,171.08,000,171.08
1997-08-08,174.58,174.58,170.54,171.57,000,171.57
1997-08-07,175.08,175.45,174.42,174.58,000,174.58
1997-08-06,173.74,175.08,173.68,175.08,000,175.08
1997-08-05,172.35,173.75,172.35,173.74,000,173.74
1997-08-04,171.67,172.35,171.23,172.35,000,172.35
1997-08-01,171.85,172.07,170.74,171.67,000,171.67
1997-07-31,170.75,171.76,170.75,171.62,000,171.62
1997-07-30,169.19,170.75,169.08,170.75,000,170.75
1997-07-29,168.30,169.20,168.15,169.19,000,169.19
1997-07-28,168.23,168.63,168.14,168.30,000,168.30
1997-07-25,168.22,168.59,168.18,168.23,000,168.23
1997-07-24,168.15,168.32,167.34,168.22,000,168.22
1997-07-23,167.35,168.36,167.35,168.15,000,168.15
1997-07-22,165.80,167.38,165.80,167.35,000,167.35
1997-07-21,167.10,167.10,165.69,165.80,000,165.80
1997-07-18,167.93,167.93,166.21,167.10,000,167.10
1997-07-17,169.13,169.13,167.75,167.93,000,167.93
1997-07-16,166.78,169.13,166.78,169.13,000,169.13
1997-07-15,165.81,166.78,165.79,166.78,000,166.78
1997-07-14,165.32,166.11,165.32,165.81,000,165.81
1997-07-11,164.14,165.38,164.14,165.32,000,165.32
1997-07-10,163.30,164.14,163.05,164.14,000,164.14
1997-07-09,163.74,164.04,163.05,163.30,000,163.30
1997-07-08,162.62,163.80,162.57,163.74,000,163.74
1997-07-07,162.98,163.18,162.39,162.62,000,162.62
1997-07-03,161.94,162.98,161.94,162.98,000,162.98
1997-07-02,161.05,161.94,160.99,161.94,000,161.94
1997-07-01,161.55,161.55,160.61,161.05,000,161.05
1997-06-30,159.32,161.62,159.01,161.55,000,161.55
1997-06-27,158.51,159.36,158.51,159.32,000,159.32
1997-06-26,158.93,159.00,158.40,158.51,000,158.51
1997-06-25,160.06,160.06,158.79,158.93,000,158.93
1997-06-24,158.95,160.14,158.95,160.06,000,160.06
1997-06-23,159.94,160.29,158.93,158.95,000,158.95
1997-06-20,160.91,160.91,159.60,159.94,000,159.94
1997-06-19,159.24,160.91,159.24,160.91,000,160.91
1997-06-18,159.30,159.30,158.61,159.24,000,159.24
1997-06-17,158.82,159.37,158.35,159.30,000,159.30
1997-06-16,158.63,158.82,158.27,158.82,000,158.82
1997-06-13,157.67,158.77,157.61,158.63,000,158.63
1997-06-12,157.38,157.76,157.33,157.67,000,157.67
1997-06-11,157.33,157.83,157.08,157.38,000,157.38
1997-06-10,157.96,158.13,157.15,157.33,000,157.33
1997-06-09,157.71,158.21,157.71,157.96,000,157.96
1997-06-06,157.22,157.88,156.84,157.72,000,157.72
1997-06-05,156.46,157.22,156.31,157.22,000,157.22
1997-06-04,156.11,156.46,155.76,156.46,000,156.46
1997-06-03,156.19,156.44,155.64,156.11,000,156.11
1997-06-02,154.83,156.20,154.75,156.19,000,156.19
1997-05-30,154.12,154.83,152.20,154.83,000,154.83
1997-05-29,153.80,154.12,153.62,154.12,000,154.12
1997-05-28,153.42,154.08,153.31,153.80,000,153.80
1997-05-27,152.63,153.50,152.38,153.42,000,153.42
1997-05-23,150.98,152.64,150.95,152.63,000,152.63
1997-05-22,150.29,151.11,150.29,150.98,000,150.98
1997-05-21,149.59,150.41,149.59,150.28,000,150.28
1997-05-20,148.82,149.59,148.21,149.59,000,149.59
1997-05-19,148.41,148.82,148.19,148.82,000,148.82
1997-05-16,148.80,149.10,148.29,148.41,000,148.41
1997-05-15,148.23,148.83,147.94,148.80,000,148.80
1997-05-14,147.82,148.62,147.82,148.23,000,148.23
1997-05-13,148.00,148.14,147.68,147.82,000,147.82
1997-05-12,146.89,148.00,146.89,148.00,000,148.00
1997-05-09,146.53,147.35,146.45,146.89,000,146.89
1997-05-08,146.10,147.10,145.50,146.53,000,146.53
1997-05-07,146.95,146.95,145.85,146.10,000,146.10
1997-05-06,147.13,147.58,146.73,146.95,000,146.95
1997-05-05,143.42,147.13,143.42,147.13,000,147.13
1997-05-02,139.75,143.48,139.75,143.42,000,143.42
1997-05-01,138.68,139.97,138.59,139.75,000,139.75
1997-04-30,137.37,138.91,137.07,138.68,000,138.68
1997-04-29,135.32,137.37,135.32,137.37,000,137.37
1997-04-28,135.16,135.48,134.85,135.32,000,135.32
1997-04-25,136.25,136.25,135.09,135.14,000,135.14
1997-04-24,136.55,137.31,136.21,136.25,000,136.25
1997-04-23,136.19,136.96,136.19,136.55,000,136.55
1997-04-22,136.02,136.19,135.27,136.19,000,136.19
1997-04-21,137.67,137.70,135.85,136.01,000,136.01
1997-04-18,137.33,137.71,137.33,137.67,000,137.67
1997-04-17,137.27,138.09,137.18,137.33,000,137.33
1997-04-16,137.04,137.27,136.79,137.27,000,137.27
1997-04-15,136.29,137.29,136.29,137.04,000,137.04
1997-04-14,136.22,136.29,134.96,136.29,000,136.29
1997-04-11,138.69,138.69,136.11,136.22,000,136.22
1997-04-10,139.82,139.89,138.69,138.70,000,138.70
1997-04-09,139.27,140.61,139.27,139.82,000,139.82
1997-04-08,138.81,139.31,138.72,139.27,000,139.27
1997-04-07,136.73,138.86,136.73,138.81,000,138.81
1997-04-04,134.54,136.73,134.15,136.73,000,136.73
1997-04-03,135.23,135.23,134.16,134.54,000,134.54
1997-04-02,136.32,136.36,135.12,135.23,000,135.23
1997-04-01,137.09,137.09,135.86,136.32,000,136.32
1997-03-31,139.61,139.63,137.09,137.09,000,137.09
1997-03-27,141.22,141.62,139.33,139.61,000,139.61
1997-03-26,140.36,141.29,140.34,141.22,000,141.22
1997-03-25,139.40,140.56,139.40,140.36,000,140.36
1997-03-24,140.93,140.93,139.12,139.40,000,139.40
1997-03-21,141.16,141.65,140.93,140.93,000,140.93
1997-03-20,141.08,141.53,140.53,141.16,000,141.16
1997-03-19,142.57,142.57,140.94,141.08,000,141.08
1997-03-18,143.38,143.54,142.37,142.57,000,142.57
1997-03-17,144.98,145.00,142.69,143.38,000,143.38
1997-03-14,144.92,145.64,144.75,144.98,000,144.98
1997-03-13,146.90,146.90,144.91,144.92,000,144.92
1997-03-12,147.82,147.82,146.70,146.90,000,146.90
1997-03-11,147.60,147.82,147.15,147.82,000,147.82
1997-03-10,146.90,147.70,146.87,147.60,000,147.60
1997-03-07,146.17,147.15,146.17,146.90,000,146.90
1997-03-06,146.21,146.79,146.10,146.17,000,146.17
1997-03-05,145.47,146.25,145.47,146.21,000,146.21
1997-03-04,144.64,145.75,144.64,145.47,000,145.47
1997-03-03,144.63,144.65,144.08,144.64,000,144.64
1997-02-28,144.92,144.94,143.75,144.63,000,144.63
1997-02-27,146.05,146.34,144.91,144.92,000,144.92
1997-02-26,147.35,147.56,145.59,145.96,000,145.96
1997-02-25,147.30,147.77,147.13,147.34,000,147.34
1997-02-24,147.00,147.30,146.51,147.30,000,147.30
1997-02-21,147.62,147.62,146.64,147.00,000,147.00
1997-02-20,148.60,148.61,147.51,147.62,000,147.62
1997-02-19,148.34,148.90,148.18,148.60,000,148.60
1997-02-18,147.91,148.38,147.78,148.34,000,148.34
1997-02-14,147.51,148.03,147.51,147.91,000,147.91
1997-02-13,145.98,147.53,145.98,147.51,000,147.51
1997-02-12,144.39,146.01,144.39,145.98,000,145.98
1997-02-11,145.14,145.55,144.05,144.39,000,144.39
1997-02-10,146.27,146.46,144.83,145.14,000,145.14
1997-02-07,145.83,146.97,145.83,146.27,000,146.27
1997-02-06,146.13,146.33,145.68,145.83,000,145.83
1997-02-05,147.22,147.47,145.66,146.13,000,146.13
1997-02-04,147.74,147.81,146.62,147.22,000,147.22
1997-02-03,147.80,148.01,147.62,147.74,000,147.74
1997-01-31,147.16,148.00,147.16,147.80,000,147.80
1997-01-30,146.28,147.16,146.28,147.16,000,147.16
1997-01-29,146.32,146.65,146.23,146.28,000,146.28
1997-01-28,145.80,147.14,145.80,146.32,000,146.32
1997-01-27,147.10,147.18,145.75,145.80,000,145.80
1997-01-24,148.08,148.11,146.46,147.10,000,147.10
1997-01-23,148.06,149.06,148.04,148.08,000,148.08
1997-01-22,148.31,148.40,147.78,148.06,000,148.06
1997-01-21,148.15,148.56,147.71,148.31,000,148.31
1997-01-20,147.73,148.15,147.53,148.15,000,148.15
1997-01-17,147.52,147.90,147.28,147.73,000,147.73
1997-01-16,147.79,148.36,147.48,147.52,000,147.52
1997-01-15,148.02,148.13,147.53,147.79,000,147.79
1997-01-14,147.49,148.12,147.49,148.02,000,148.02
1997-01-13,147.49,147.78,147.28,147.49,000,147.49
1997-01-10,147.11,147.53,145.63,147.49,000,147.49
1997-01-09,146.07,147.11,146.07,147.11,000,147.11
1997-01-08,145.85,146.38,145.85,146.07,000,146.07
1997-01-07,145.34,145.86,144.90,145.85,000,145.85
1997-01-06,145.20,146.00,145.14,145.34,000,145.34
1997-01-03,144.26,145.21,144.26,145.20,000,145.20
1997-01-02,145.48,145.48,143.42,144.26,000,144.26
1996-12-31,144.64,145.49,144.29,145.48,000,145.48
1996-12-30,144.07,144.75,144.07,144.64,000,144.64
1996-12-27,143.91,144.23,143.91,144.07,000,144.07
1996-12-26,143.45,143.91,143.45,143.91,000,143.91
1996-12-24,143.10,143.47,143.01,143.45,000,143.45
1996-12-23,143.41,143.56,142.81,143.10,000,143.10
1996-12-20,142.72,143.41,142.72,143.41,000,143.41
1996-12-19,141.44,142.87,141.44,142.72,000,142.72
1996-12-18,139.70,141.45,139.69,141.44,000,141.44
1996-12-17,139.98,139.98,139.10,139.70,000,139.70
1996-12-16,141.60,141.86,139.97,139.98,000,139.98
1996-12-13,143.16,143.17,141.16,141.60,000,141.60
1996-12-12,143.95,144.68,143.11,143.16,000,143.16
1996-12-11,145.44,145.44,142.92,143.95,000,143.95
1996-12-10,145.65,146.14,145.33,145.44,000,145.44
1996-12-09,143.79,145.66,143.79,145.65,000,145.65
1996-12-06,145.20,145.20,141.24,143.79,000,143.79
1996-12-05,144.87,145.30,144.81,145.20,000,145.20
1996-12-04,145.10,145.46,144.52,144.87,000,144.87
1996-12-03,143.99,145.61,143.99,145.10,000,145.10
1996-12-02,143.91,144.06,143.40,143.99,000,143.99
1996-11-29,143.33,143.95,143.20,143.91,000,143.91
1996-11-27,142.70,143.33,142.47,143.33,000,143.33
1996-11-26,142.93,143.22,142.39,142.70,000,142.70
